week,capacity
2022-01-01,74.48
2022-01-08,62
2022-01-15,67.16
2022-01-22,75.76
2022-01-29,74.87
2022-02-05,81.42
2022-02-12,86.93
2022-02-19,90.16
2022-02-26,92.17
2022-03-05,78.22
2022-03-12,85.76
2022-03-19,92.46
2022-03-26,89.89
2022-04-02,84.03
2022-04-09,86.23
2022-04-16,85.72
2022-04-23,83.37
2022-04-30,74.72
2022-05-07,75.02
2022-05-14,79.19
2022-05-21,80.31
2022-05-28,82.31
2022-06-04,79.40
2022-06-11,83.53
2022-06-18,82.81
2022-06-25,86.11
2022-07-02,85.84
2022-07-09,82.03
2022-07-16,85.10
2022-07-23,88.57
2022-07-30,88.65
2022-08-06,87.80
2022-08-13,87.77
2022-08-20,89.02
2022-08-27,85.47
2022-09-03,89.67
2022-09-10,90.22
2022-09-17,90.88
2022-09-24,91.46
2022-10-01,86.40
2022-10-08,90.68
2022-10-15,89.26
2022-10-22,87.78
2022-10-29,83.49
2022-11-05,82.58
2022-11-12,86.61
2022-11-19,81.23
2022-11-26,80.06
2022-12-03,80.93
2022-12-10,85.47
2022-12-17,84.57
2022-12-24,81.08
2022-12-31,91.09
2023-01-07,90.94
2023-01-14,92.78
2023-01-21,93.47
2023-01-28,94.04
2023-02-04,92.45
2023-02-11,94.77
2023-02-18,94.08
2023-02-25,93.18
2023-03-04,87.75
2023-03-11,91.95
2023-03-18,94.46
2023-03-25,92.68
2023-04-01,91.03
2023-04-08,91.22
2023-04-15,88.83
2023-04-22,87.13
2023-04-29,87.35
2023-05-06,83.19
2023-05-13,84.49
2023-05-20,88.12
2023-05-27,87.13
2023-06-03,82.94
2023-06-10,85.69
2023-06-17,88.42
2023-06-24,89.63
2023-07-01,88.95
2023-07-08,85.68
2023-07-15,87.84
2023-07-22,89.24
2023-07-29,90.72
2023-08-05,91.13
2023-08-12,89.77
2023-08-19,85.50
2023-08-26,85.96
2023-09-02,90.88
2023-09-09,88.01
2023-09-16,90.32
2023-09-23,84.30
2023-09-30,83.16
2023-10-07,87.37
2023-10-14,87.76
